Model Name,Loss,Accuracy
Logistic Regression,2.0700020851039587,0.3701583921203247
Logistic Regression,2.0674343332428733,0.369293225076534
Logistic Regression,2.0675325536007363,0.369293225076534
Logistic Regression,2.067562713705528,0.3692266737654732
Logistic Regression,2.067591010882017,0.3692266737654732
Logistic Regression,2.067550781684752,0.369293225076534
Logistic Regression,2.0675960228305623,0.3692266737654732
Logistic Regression,2.067557385142308,0.3692266737654732
Logistic Regression,2.067491497465272,0.3692266737654732
Logistic Regression,2.0675923604131934,0.3692266737654732
