Model Name,Loss,Accuracy
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
Logistic Regression,0.4779917333027635,0.8124708857390032
