Model Name,Loss,Accuracy
Logistic Regression,0.7112745677873059,0.7485555555555555
Logistic Regression,0.7136300956932063,0.7485
Logistic Regression,0.7135981986083765,0.7485555555555555
Logistic Regression,0.7136128060919293,0.7485
Logistic Regression,0.7136253160455176,0.7485555555555555
Logistic Regression,0.7136066514649333,0.7485555555555555
Logistic Regression,0.7136066000409119,0.7485555555555555
Logistic Regression,0.7136149174082694,0.7485
Logistic Regression,0.7136072333163516,0.7485
Logistic Regression,0.7136037969926624,0.7485555555555555
