Model Name,Loss,Accuracy
Logistic Regression,0.6931471805599453,0.4977777777777777
Logistic Regression,0.3490312812927381,0.8537222222222223
Logistic Regression,0.3490312812927381,0.8537222222222223
Logistic Regression,0.3490312812927381,0.8537222222222223
XGBoost,0.6109100770808994,0.9606666666666668
XGBoost,0.4856051006632012,0.9662777777777778
XGBoost,0.3821894492359183,0.9428888888888888
MLP,0.225058913230896,0.8856111168861389
MLP,0.1691064313054084,0.9312777817249298
MLP,0.1599772647023201,0.9387222230434418
Logistic Regression,0.3493757385344732,0.8517777777777777
Logistic Regression,0.3493757385344732,0.8517777777777777
Logistic Regression,0.3493757385344732,0.8517777777777777
Logistic Regression,0.4190010658544622,0.8471316384932783
Logistic Regression,0.4190010658544622,0.8471316384932783
Logistic Regression,0.4190010658544622,0.8471316384932783
XGBoost,1.7741960457840624,0.9902169572740585
XGBoost,1.5064627547109013,0.9892852389192068
XGBoost,1.4469383859615672,0.9635964328497272
Logistic Regression,0.3486468273798548,0.8495
Logistic Regression,0.3544106013820082,0.8529444444444444
Logistic Regression,0.3544106013820082,0.8529444444444444
Logistic Regression,0.3544106013820082,0.8529444444444444
Logistic Regression,0.3544106013820082,0.8529444444444444
Logistic Regression,0.3544106013820082,0.8529444444444444
Logistic Regression,0.3544106013820082,0.8529444444444444
Logistic Regression,0.3544106013820082,0.8529444444444444
Logistic Regression,0.3544106013820082,0.8529444444444444
Logistic Regression,0.3544106013820082,0.8529444444444444
XGBoost,0.6096794646727521,0.9657222222222224
XGBoost,0.4275732074893677,0.9533888888888888
XGBoost,0.2973805817825441,0.9569444444444444
