Wall time,Step,Value
1743045594.9226618,2400,332.0416564941406
1743045595.636505,2800,355.8928527832031
1743045599.1402571,4800,385.9791564941406
1743045601.2037582,6000,381.2833251953125
1743045601.9012434,6400,379.203125
1743045603.9808455,7600,378.8026428222656
1743045604.6744263,8000,378.42498779296875
1743045605.320356,8400,378.71429443359375
1743045607.7250226,10000,373.04998779296875
1743045618.6276522,14800,389.4700012207031
1743045621.5976837,16400,411.3999938964844
1743045623.1102107,17200,423.7099914550781
1743045624.7163992,18000,435.8900146484375
1743045625.471983,18400,441.6000061035156
1743045627.001534,19200,455.2900085449219
1743045631.6207173,21600,487.8299865722656
1743045632.481102,22000,489.79998779296875
1743045633.2610872,22400,491.739990234375
1743045633.9282584,22800,493.3800048828125
1743045634.5753872,23200,491.57000732421875
1743045641.6464868,25600,492.4599914550781
1743045643.2416108,26400,489.739990234375
1743045644.804287,27200,480.20001220703125
1743045645.5894213,27600,476.1300048828125
1743045647.8263044,28800,462.6600036621094
1743045648.5519881,29200,458.8500061035156
1743045649.3271081,29600,453.260009765625
1743045650.2048447,30000,452.3699951171875
1743045654.1001081,32000,463.4200134277344
1743045657.677747,34000,474.55999755859375
1743045659.766223,35200,467.92999267578125
1743045660.51771,35600,466.4800109863281
1743045668.3750136,38000,473.1600036621094
1743045674.6275806,41200,476.9200134277344
1743045676.9627879,42400,473.510009765625
1743045677.6996953,42800,473.54998779296875
1743045683.0486445,45600,469.29998779296875
1743045685.2416148,46800,464.5400085449219
1743045686.6731055,47600,465.17999267578125
1743045694.0209217,50400,478.5199890136719
1743045694.9477592,50800,478.1199951171875
1743045697.3369167,52000,464.04998779296875
1743045698.1394203,52400,460.5299987792969
1743045703.7992153,55200,454.32000732421875
1743045705.3381164,56000,451.5899963378906
1743045706.869064,56800,449.3900146484375
1743045707.6236339,57200,449.2900085449219
1743045708.549434,57600,446.5899963378906
1743045714.0886953,60400,428.79998779296875
1743045717.1694384,62400,443.8399963378906
1743045721.5051568,63200,441.5199890136719
1743045722.289971,63600,441.4200134277344
1743045725.840108,65200,435.2699890136719
1743045729.7846694,67200,442.2300109863281
1743045730.5385277,67600,444.5899963378906
1743045732.8625338,68800,446.8299865722656
1743045737.684133,71200,454.8800048828125
1743045738.5554628,71600,455.5
1743045740.0103707,72400,457.29998779296875
1743045741.99961,73600,457.2200012207031
1743045743.136721,74400,459.9100036621094
1743045743.74686,74800,461.07000732421875
1743045748.0816147,75600,460.9700012207031
1743045749.8931456,76400,464.4800109863281
1743045750.803654,76800,462.510009765625
1743045756.3877754,79600,458.25
1743045762.4257214,82800,444.3399963378906
1743045763.1440067,83200,441.3399963378906
1743045763.9708803,83600,445.1499938964844
1743045767.4670758,85200,445.1700134277344
1743045777.3799057,89200,443.30999755859375
1743045778.1634524,89600,445.5400085449219
1743045779.6872864,90400,444.4700012207031
1743045782.731465,92000,447.1600036621094
1743045785.3906384,93200,454.7799987792969
1743045786.1704087,93600,455.7300109863281
1743045786.9208095,94000,456.94000244140625
1743045789.1207492,95200,465.5299987792969
1743045797.48783,100000,477.9100036621094
1743045806.0160496,102400,478.54998779296875
1743045808.2774036,103600,474.6199951171875
1743045809.7695398,104400,470.2099914550781
1743045810.5070627,104800,468.44000244140625
1743045812.0287733,105600,462.7900085449219
1743045814.9787266,107200,460.3699951171875
1743045818.2992554,108800,461.19000244140625
1743045819.9375288,109600,457.7300109863281
1743045823.4573214,111600,452.1400146484375
1743045830.3065295,114000,452.2099914550781
1743045836.4154842,116800,455.79998779296875
1743045837.2519934,117200,455.1300048828125
1743045841.186035,119200,448.739990234375
1743045841.9232602,119600,449.3900146484375
1743045844.9133084,121200,447.7799987792969
1743045845.6056767,121600,449.1000061035156
1743045848.2652752,123200,455.4599914550781
1743045848.9659154,123600,453.7799987792969
1743045850.3681822,124400,451.8800048828125
