Model Name,Loss,Accuracy,Precision,Recall
log_reg,0.7138541260124548,0.8610714285714286,0.8805515032560727,0.8610714285714285
xgb,1.126808692733453,0.7160267857142857,0.7165701464689641,0.7160267857142857
mlp,0.46597638726234436,0.8480803370475769,0.9033626487325401,0.7795535714285714
dqn,0.5641942342551085,0.8716071428571428,0.8925674401056405,0.8449107142857143

