Model Name,Accuracy,Precision,Recall
Regressão Logística,0.8277210658889036,0.8400251388209087,0.8381083033977377
XGBoost,0.7983504661726035,0.7992805755395683,0.796796557494621
MLP,0.7828781510812288,0.8308686144974952,0.706742452528912
DQN,0.8648099450155392,0.8466606088141755,0.8909873296677026

