Wall time,Step,Value
1743045578.3825374,2400,240.75
1743045578.8421967,2800,266.3214416503906
1743045580.9040189,4800,359.4375
1743045581.9883273,6000,383.6833190917969
1743045582.3478816,6400,384.578125
1743045583.4424107,7600,385.77630615234375
1743045583.8131495,8000,387.7250061035156
1743045584.1790519,8400,388.03570556640625
1743045585.6534483,10000,391.260009765625
1743045593.7445297,14800,449.7200012207031
1743045595.546119,16400,457.0
1743045596.4326606,17200,467.4800109863281
1743045597.315169,18000,475.44000244140625
1743045597.7491632,18400,478.45001220703125
1743045598.6260097,19200,481.70001220703125
1743045601.247784,21600,478.260009765625
1743045601.6796296,22000,475.42999267578125
1743045602.1173983,22400,474.25
1743045602.5489824,22800,470.3500061035156
1743045602.9834263,23200,469.1199951171875
1743045614.999877,25600,464.7900085449219
1743045616.004552,26400,464.010009765625
1743045617.1779454,27200,462.6199951171875
1743045617.7128274,27600,457.7799987792969
1743045619.3377616,28800,451.0
1743045619.8337717,29200,448.7799987792969
1743045620.303147,29600,450.94000244140625
1743045620.7784932,30000,452.3900146484375
1743045623.4637685,32000,452.95001220703125
1743045627.1556787,34000,449.1099853515625
1743045629.3749595,35200,454.739990234375
1743045629.8306866,35600,459.05999755859375
1743045641.358213,38000,471.54998779296875
1743045645.953097,41200,481.0
1743045647.5043964,42400,479.70001220703125
1743045647.9889758,42800,480.9700012207031
1743045652.4954457,45600,471.75
1743045653.8888717,46800,471.3599853515625
1743045654.8082278,47600,469.04998779296875
1743045667.9245596,50400,455.7200012207031
1743045668.6098332,50800,459.3599853515625
1743045670.3981485,52000,466.1600036621094
1743045671.1005387,52400,471.8599853515625
1743045675.5865011,55200,482.0299987792969
1743045676.9441955,56000,484.7300109863281
1743045678.0961182,56800,479.57000732421875
1743045678.6426935,57200,477.6700134277344
1743045679.3413894,57600,476.0299987792969
1743045683.8758547,60400,477.0400085449219
1743045686.9961305,62400,468.2300109863281
1743045694.6509173,63200,463.7099914550781
1743045695.36684,63600,461.3999938964844
1743045698.0804324,65200,459.6400146484375
1743045701.7392266,67200,464.95001220703125
1743045702.497606,67600,464.989990234375
1743045704.8357587,68800,465.010009765625
1743045709.2922194,71200,470.3699951171875
1743045709.8215048,71600,470.7900085449219
1743045710.8007329,72400,469.19000244140625
1743045713.038615,73600,468.5400085449219
1743045714.086715,74400,461.7799987792969
1743045714.600325,74800,460.0799865722656
1743045721.1634722,75600,452.9200134277344
1743045722.68179,76400,450.57000732421875
1743045723.5139108,76800,450.7200012207031
1743045729.074957,79600,461.1000061035156
1743045734.3050957,82800,456.6000061035156
1743045734.8857448,83200,455.989990234375
1743045735.3729138,83600,455.739990234375
1743045738.5190167,85200,452.1099853515625
1743045750.3251336,89200,438.8900146484375
1743045751.119356,89600,441.739990234375
1743045752.2723649,90400,449.4599914550781
1743045754.5388093,92000,456.8599853515625
1743045756.2096872,93200,456.1199951171875
1743045756.7659836,93600,454.010009765625
1743045757.3196,94000,453.70001220703125
1743045759.4403064,95200,458.82000732421875
1743045767.8301501,100000,435.9200134277344
1743045777.6853285,102400,432.7200012207031
1743045779.3444057,103600,443.1600036621094
1743045780.6555183,104400,445.3399963378906
1743045781.414639,104800,449.5400085449219
1743045782.94376,105600,450.0899963378906
1743045786.232263,107200,470.3599853515625
1743045788.2652116,108800,479.5400085449219
1743045789.2508469,109600,486.7300109863281
1743045792.6968396,111600,497.2099914550781
1743045803.3497267,114000,481.20001220703125
1743045807.8518047,116800,479.8800048828125
1743045808.34948,117200,475.94000244140625
1743045811.5987473,119200,466.5799865722656
1743045812.3270333,119600,464.010009765625
1743045815.2076418,121200,451.9200134277344
1743045815.9327362,121600,451.6300048828125
1743045818.2505388,123200,445.5400085449219
1743045818.732048,123600,447.45001220703125
1743045819.6349998,124400,447.989990234375
1743045828.2652674,125600,439.94000244140625
1743045831.4075186,127600,450.6700134277344
1743045831.993794,128000,452.25
1743045832.5154557,128400,453.80999755859375
1743045836.005056,130400,464.5899963378906
1743045836.7315896,130800,468.5799865722656
1743045837.4754903,131200,472.29998779296875
1743045839.7456367,132400,469.30999755859375
1743045846.3341448,136000,464.010009765625
1743045847.573574,136800,457.6199951171875
1743045855.602476,138400,449.2099914550781
1743045857.2123113,139200,443.489990234375
1743045858.0535831,139600,443.5
1743045862.0705795,141600,443.6000061035156
1743045862.8307738,142000,447.1400146484375
1743045867.4452217,144400,452.9700012207031
1743045869.2012744,145600,454.8500061035156
1743045871.1022382,147200,454.3299865722656
1743045872.8799744,148800,454.6300048828125
1743045873.7431808,149600,449.9100036621094
1743045882.9399738,151200,436.8599853515625
1743045883.6400635,151600,435.5400085449219
1743045884.450661,152000,432.69000244140625
1743045886.0518398,152800,434.8699951171875
1743045889.85113,154800,445.7799987792969
1743045890.6613739,155200,448.6199951171875
1743045893.3133469,156800,455.5299987792969
1743045894.0634122,157200,457.8699951171875
1743045894.861532,157600,458.9800109863281
1743045907.8303254,163600,491.92999267578125
1743045911.6781747,166400,493.2200012207031
1743045912.1903343,166800,494.2900085449219
1743045914.5319173,168800,485.8299865722656
1743045915.1177545,169200,483.6400146484375
1743045916.0759418,170000,477.4599914550781
1743045917.1079216,170800,472.4599914550781
1743045919.055403,172400,468.3599853515625
1743045932.2869914,176000,456.8500061035156
1743045933.2065341,176800,454.4700012207031
1743045933.6387062,177200,455.739990234375
1743045934.9136963,178400,463.80999755859375
1743045937.6564007,180800,469.17999267578125
1743045941.4241834,184000,470.57000732421875
1743045941.9042346,184400,470.4200134277344
