Model Name,Loss,Accuracy
Logistic Regression,2.800231331977645,0.3248015873015873
Logistic Regression,2.984921475520207,0.3248015873015873
Logistic Regression,3.107991323142874,0.3450396825396825
Logistic Regression,3.201686205129142,0.3575396825396825
Logistic Regression,3.3172738286135,0.3583333333333333
Logistic Regression,3.3663967338661767,0.3895502645502645
Logistic Regression,3.404835991818824,0.3906084656084656
Logistic Regression,3.3882074247596776,0.3904761904761905
Logistic Regression,3.3892195608783675,0.3906084656084656
Logistic Regression,3.402891682107415,0.3915343915343915
